Title,Description
Mental,How Men Strengthen Their Mindset
mentalport-app: AI Mental Health Coach,"Personal systemic AI coach, everyday companion & health hub"
Yuna AI — Your Mental Health Coach,A safe place for self-discovery
Ash,The first AI designed for therapy
todai,Your first personalized happy lifestyle index
TherapyAI,AI Therapist for stress and anxiety
MYND,24/7 AI Bestie For Your Mental Wellness
Soula Care,"AI-powered assistant for pregnancy, birth and postpartum"
Guin - Your GoodMind Buddy,It's all about YOU!
MoodGallery: Emotions to art,Turn your moods into personalized AI artwork
